Title,Abstract,ArticleURL,Year,Cites,Authors,SELECTED
Dynamic prompt learning via policy gradient for semi-structured mathematical reasoning,… system needs to perform mathematical reasoning over multi-… that requires mathematical reasoning over heterogeneous … mathematical reasoning and tabular context are necessary. …,https://arxiv.org/abs/2209.14610,2022,332,"P Lu, L Qiu, KW Chang, YN Wu, SC Zhu…",1
Teaching algorithmic reasoning via in-context learning,"… Large language models (LLMs) have shown increasing in-context learning capabilities … In this approach, we utilize one model for performing the informal mathematical reasoning steps …",https://arxiv.org/abs/2211.09066,2022,61,"H Zhou, A Nova, H Larochelle, A Courville…",1
Overcoming barriers to skill injection in language modeling: Case study in arithmetic,"… that also happens to be proficient in mathematical reasoning is not as straight-forward as … inherent numerical skills induced in large language models through unsupervised training [23, …",https://arxiv.org/abs/2211.02098,2022,5,"M Sharma, N Muralidhar, N Ramakrishnan",1
Language models of protein sequences at the scale of evolution enable accurate structure prediction,"… Large language models have recently been shown to develop emergent capabilities with … -shot language translation, commonsense reasoning, and mathematical reasoning (11–14). To …",https://www.biorxiv.org/content/10.1101/2022.07.20.500902v1.full.pdf?utm_campaign=M2D2%20Community%20Round-Up&utm_medium=email&utm_source=Revue%20newsletter,2022,799,"Z Lin, H Akin, R Rao, B Hie, Z Zhu, W Lu…",0
Formal premise selection with language models,"… Program synthesis with large language models, 2021. … Evaluating large language models trained on code, 2021. … Isarstep: a benchmark for high-level mathematical reasoning. In …",http://aitp-conference.org/2022/abstract/AITP_2022_paper_32.pdf,2022,9,Y Wu,1
Learn to Select Good Examples with Reinforcement Learning for Semi-structured Mathematical Reasoning,… remarkable progress on mathematical reasoning tasks written … problems that require mathematical reasoning on both textual … mathematical reasoning and tabular context are …,https://mathai2022.github.io/papers/12.pdf,,0,"P Lu, L Qiu, KW Chang, YN Wu, SC Zhu, T Rajpurohit…",1
"Rarr: Researching and revising what language models say, using language models","… of few-shot prompting in large language models to robustly generalize across domains. … We also found that RARR’s performance is low on examples with mathematical reasoning, …",https://arxiv.org/abs/2210.08726,2022,368,"L Gao, Z Dai, P Pasupat, A Chen, AT Chaganty…",0
Learning to reason with relational abstractions,… Large language models have recently shown promising progress in mathematical reasoning when … how language models perform on tasks requiring multi-step mathematical reasoning. …,https://arxiv.org/abs/2210.02615,2022,6,"AJ Nam, M Ren, C Finn, JL McClelland",1
Matcha: Enhancing visual language pretraining with math reasoning and chart derendering,… and their organizations) and (2) mathematical reasoning. (1) is required to discover the … chart-to-text translation module (without OCR) with large language models. Donut (Kim et al.…,https://arxiv.org/abs/2212.09662,2022,128,"F Liu, F Piccinno, S Krichene, C Pang, K Lee…",1
ProofNet: A benchmark for autoformalizing and formally proving undergraduate-level mathematics problems,… has been to treat mathematical reasoning in natural language as … A key advantage of mathematical reasoning in natural … We have shown that pre-trained large language models …,https://mathai2022.github.io/papers/20.pdf,2022,11,"Z Azerbayev, B Piotrowski…",1
Cognitive Architectures for Explainable AI: Integrating Chain-of-Thought Reasoning in LLMs,"… As large language models (LLMs) become increasingly … Thought (CoT) reasoning in large language models (LLMs) has … logical inference, mathematical reasoning, and structured …",https://www.researchgate.net/profile/Mendus-Daviglus/publication/388835264_Cognitive_Architectures_for_Explainable_AI_Integrating_Chain-of-_Thought_Reasoning_in_LLMs/links/67a908be4c479b26c9db9a3e/Cognitive-Architectures-for-Explainable-AI-Integrating-Chain-of-Thought-Reasoning-in-LLMs.pdf,2022,1,"H Ahmad, M Daviglus",0
Outof-distribution generalization in algorithmic reasoning through curriculum learning,"… Large transformer-based ‘foundation’ models [1] have attracted recent attention by showing some success in mathematical reasoning tasks, demonstrating a degree of systematicity and …",https://mathai2022.github.io/papers/22.pdf,2022,2,"AJ Nam, M Abdool, T Maxfield…",1
Is a question decomposition unit all we need?,… Large Language Models (LMs) have achieved state-of-the-art performance on many Natu… Numglue: A suite of fundamental yet challenging mathematical reasoning tasks. In …,https://arxiv.org/abs/2205.12538,2022,59,"P Patel, S Mishra, M Parmar, C Baral",0
Mind's eye: Grounded language model reasoning through simulation,"… This setting is also different from those in mathematical reasoning tasks (eg, GSM8k (Cobbe … Chain of thought prompting elicits reasoning in large language models. Conference on …",https://arxiv.org/abs/2210.05359,2022,99,"R Liu, J Wei, SS Gu, TY Wu, S Vosoughi, C Cui…",0
Composing ensembles of pre-trained models via iterative consensus,"… method can be used as a general purpose framework for a wide range of zero-shot multimodal tasks, such as image generation, video question answering, mathematical reasoning, …",https://arxiv.org/abs/2210.11522,2022,39,"S Li, Y Du, JB Tenenbaum, A Torralba…",0
Very large language model as a unified methodology of text mining,"… on story writing, question answering, or mathematical reasoning just by conditioning on input-… Generate rather than retrieve: Large language models are strong context generators. arXiv …",https://arxiv.org/abs/2212.09271,2022,3,M Jiang,0
Towards understanding chain-of-thought prompting: An empirical study of what matters,… the multi-step reasoning abilities of large language models (LLMs). CoT explicitly encourages … ing mathematical reasoning benchmarks available which is also repeatedly adopted by …,https://arxiv.org/abs/2212.10001,2022,138,"B Wang, S Min, X Deng, J Shen, Y Wu…",0
"Proceedings of the 2nd Workshop on Natural Language Generation, Evaluation, and Metrics (GEM)",… Abstract: While research on large language models (LLMs) … door to tackling challenging mathematical reasoning tasks. Join me … focus on mathematical reasoning. He received his Ph.D. …,https://aclanthology.org/2022.gem-1.0.pdf,2022,1,"A Bosselut, K Chandu, K Dhole, V Gangal…",0
Exploring Communicative Strategies for Dual LLM Agents in Mathematical Problem Solving,"… The advancement of multi-agent workflows leveraging Large Language Models (LLMs) for tackling complex tasks, such as mathematical problem-solving, has garnered significant …",https://www.researchgate.net/profile/Liang-Zhang-10/publication/390466024_Exploring_Communicative_Strategies_for_Dual_LLM_Agents_in_Mathematical_Problem_Solving/links/67eeea71e8041142a161472a/Exploring-Communicative-Strategies-for-Dual-LLM-Agents-in-Mathematical-Problem-Solving.pdf,2022,2,"L Zhang, J Lin, X Zhai, D Zapata-Rivera, C Forsyth…",0
"A neural network solves, explains, and generates university math problems by program synthesis and few-shot learning at human level","… and Probability, Intermediate Algebra, Number Theory, and Precalculus), the latest benchmark of advanced mathematics problems designed to assess mathematical reasoning. We …",https://www.pnas.org/doi/abs/10.1073/pnas.2123433119,2022,196,"I Drori, S Zhang, R Shuttleworth, L Tang, A Lu…",1
Achieving and Understanding Out-of-Distribution Generalization in Systematic Reasoning in Small-Scale Transformers,"… by showing some success in mathematical reasoning tasks, demonstrating a degree of … of large transformer-based models, especially in large language models such as GPT-3 [3] …",https://arxiv.org/abs/2210.03275,2022,1,"AJ Nam, M Abdool, T Maxfield…",1
"Correctness Comparison of ChatGPT-4, Bard, Claude-2, and Copilot for Spatial Tasks. 2","… Generative AI including large language models (LLMs) have recently gained significant … , while Claude-2 demonstrates strengths in mathematical reasoning (Barilla, 2023). Bard AI is …",https://www.researchgate.net/profile/Levente-Juhasz/publication/377178667_Correctness_Comparison_of_ChatGPT-4_Gemini_Claude-3_and_Copilot_for_Spatial_Tasks/links/659821c80bb2c7472b361688/Correctness-Comparison-of-ChatGPT-4-Gemini-Claude-3-and-Copilot-for-Spatial-Tasks.pdf,2022,2,"HH Hochmaira, L Juhászb, T Kempa",0
MILE: Memory-Interactive Learning Engine for Solving Mathematical Problems,… Mathematical reasoning is a field quite suitable for this study because of its high-level … Prompt programming for large language models: Beyond the few-shot paradigm. In Extended …,https://openreview.net/forum?id=nQtcJ24_45K,,0,"Y Wu, H Nakayama",1
Star: Self-taught reasoner,"… ” for intermediate steps, large language models (LLMs) can … range of tasks including mathematical reasoning, commonsense … In addition, as text generation by large language models …",https://raw.githubusercontent.com/labmlai/annotated_deep_learning_paper_implementations/master/papers/2203.14465.pdf,2022,13,"E Zelikman, Y Wu…",0
Multi-lingual evaluation of code generation models,"… models on complex context, which requires mathematical reasoning. Similar to Section 4.4 and … More recently, various work have been proposed to use large language models for code …",https://arxiv.org/abs/2210.14868,2022,169,"B Athiwaratkun, SK Gouda, Z Wang, X Li, Y Tian…",0
A parallel corpus of natural language and isabelle artefacts,"… Evaluating large language models trained on code. 2021. … Mathematical reasoning via self-supervised skip-tree training. In International Conference on Learning Representations, 2021…",http://aitp-conference.org/2022/abstract/AITP_2022_paper_8.pdf,2022,3,"A Bordg, YA Stathopoulos…",0
A survey in mathematical language processing,"… Delivering mathematical reasoning over discourse requires close integration between step-wise inference control over localised explicit representations (symbolic perspective), and dis…",https://arxiv.org/abs/2205.15231,2022,20,"J Meadows, A Freitas",1
JRIRD at the NTCIR-16 FinNum-3 Task: Investigating the Effect of Numerical Representations in Manager's Claim Detection,"… However, the performance of large language models worsened in some formats. … Mathematical Reasoning in General Artificial Intelligence Workshop at ICLR 2021. …",https://research.nii.ac.jp/ntcir/workshop/OnlineProceedings16/pdf/ntcir/05-NTCIR16-FINNUM-OnumaS.pdf,2022,3,"S Onuma, K Kadowaki",0
Towards data-and knowledge-driven artificial intelligence: A survey on neuro-symbolic computing,"… diagnosis, autonomous driving, and mathematical reasoning, and lead to the increasing … NLP systems, including large language models like GPT3 [61], fall under this category (see …",https://arxiv.org/abs/2210.15889,2022,44,"W Wang, Y Yang, F Wu",0
Inside the Mind of an AI: Materiality and the Crisis of Representation,"… —also have cognitive capabilities, as do large language models [End Page 652] such as … be true, a tactic sometimes used in mathematical reasoning). However, it immediately qualifies …",https://muse.jhu.edu/pub/1/article/898324/summary,2022,42,NK Hayles,0
Mathematical proof between generations,… Another possibility is training large language models such as ChatGPT to write Lean code. … The idea of applying technology to mathematical reasoning began to be realized in the 1960s…,https://www.ams.org/journals/notices/202401/rnoti-p79.pdf,2022,11,"J Bayer, C Benzmüller, K Buzzard, M David, L Lamport…",0
Neurosymbolic Machine Learning for Reasoning,"… Proof assistants offer a formalism that resembles human mathematical reasoning, representing theorems in higher-order logic and proofs as high-level tactics. However, human experts …",https://search.proquest.com/openview/2ab78d5c4887ddfe4b34a1cde865a303/1?pq-origsite=gscholar&cbl=18750&diss=y,2022,1,K Yang,0
Is neuro-symbolic ai meeting its promise in natural language processing? a structured,"… , the success of the Transformer and Large Language Models (LLMs) has also served to … types of logic, human reasoning, and mathematical reasoning, as well as counter-productive …",https://www.academia.edu/download/95152225/2202.12205.pdf,2022,2,"K Hamilton, A Nayak, B Božic, L Longo",0
A non-expert's introduction to data ethics for mathematicians,"… There are significant risks and potential nefarious uses of tools like generative AI and large language models (LLMs) [ BGMMS21 , EMFG+22 , Fer24 ]. Modern data analysis also has …",https://books.google.com/books?hl=en&lr=&id=fNhcEQAAQBAJ&oi=fnd&pg=PA65&dq=%22large+language+models%22+%22mathematical+reasoning%22&ots=ttKS78gTOu&sig=UvCOUXnY6drfs48XkQbK3i5Yx-Y,2022,4,MA Porter,0
Mathematical Intelligence: What We Have that Machines Don't,… the confabulatory behaviours of large language models long before … Large language models set machines on a 'mindless' path … Large language models already depend a great deal on …,https://books.google.com/books?hl=en&lr=&id=3-JBEAAAQBAJ&oi=fnd&pg=PT4&dq=%22large+language+models%22+%22mathematical+reasoning%22&ots=HMS1D4rFfS&sig=3kQeCRLb7__xr3v7dqmJLvCo01M,2022,7,J Mubeen,0
Towards neuro-symbolic conjecturing,"… There have been recent attempts to use large language models for conjecturing tasks [8… Mathematical reasoning via self-supervised skiptree training. In Proceedings of ICLR, 2021. …",http://aitp-conference.org/2022/abstract/AITP_2022_paper_13.pdf,,0,"SH Einarsdóttir, M Johansson, N Smallbone",0
"Gathering strength, gathering storms: The one hundred year study on artificial intelligence (AI100) 2021 study panel report",… Spotify’s use of audio analysis of music40 or the application of large language models … .org/how-close-are-computers-to-automating-mathematical-reasoning-20200827/ …,https://arxiv.org/abs/2210.15767,2022,280,"ML Littman, I Ajunwa, G Berger, C Boutilier…",0
Vision transformers provably learn spatial structure,"… 67] or in mathematical reasoning [73]. In this paper, we focus on computer vision where convolutions are considered to be an adequate and biologically plausible inductive bias since …",https://proceedings.neurips.cc/paper_files/paper/2022/hash/f69707de866eb0805683d3521756b73f-Abstract-Conference.html,2022,125,"S Jelassi, M Sander, Y Li",0
Why code is more important than flat design,"… The large language models described in chapter [XX 4 XX], based on deep neural networks … I love learning how mathematical reasoning is done differently by local communities with …",https://moralcodes.pubpub.org/pub/chapter-8/release/1,2022,0,A Blackwell,0
A Survey of Parameters Associated with the Quality of Benchmarks in NLP,… Numglue: A suite of fundamental yet challenging mathematical reasoning tasks. In Proceedings of the 60th Annual Meeting of the Association for Computational Linguistics (Volume 1: …,https://arxiv.org/abs/2210.07566,2022,2,"S Mishra, A Arunkumar, C Bryan, C Baral",0
Evaluating tools for characterizing anterior urethral stricture disease: a comparison of the LSE system and the urethral stricture score,"… , including deep learning, machine learning and large language models and generative AI. … Like the U-Score, point allocation was not based on discrete mathematical reasoning, which …",https://www.auajournals.org/doi/abs/10.1097/JU.0000000000002880,2022,5,"JT Kurtzman, R Kosber, P Kerr…",0
Mathprompter: Mathematical reasoning using large language models,"Large Language Models (LLMs) have limited performance when solving arithmetic reasoning tasks and often provide incorrect answers. Unlike natural language understanding, math …",https://arxiv.org/abs/2303.05398,2023,422,"S Imani, L Du, H Shrivastava",1
Wizardmath: Empowering mathematical reasoning for large language models via reinforced evol-instruct,"… , this work aims to enhance the mathematical reasoning abilities of the SOTA open-source … We perform experiments on two mathematical reasoning benchmarks, namely GSM8k [42] …",https://arxiv.org/abs/2308.09583,2023,527,"H Luo, Q Sun, C Xu, P Zhao, J Lou, C Tao…",1
Cumulative reasoning with large language models,"… The MATH dataset [21] is a comprehensive benchmark designed to evaluate the mathematical reasoning capabilities of AI models. It spans a wide range of mathematical subdomains, …",https://arxiv.org/abs/2308.04371,2023,414,"Y Zhang, J Yang, Y Yuan, ACC Yao",1
Mathematical language models: A survey,… mathematical reasoning and LMs [117]. Lu et al. [109] delineate the landscape of deep learning applications specifically pertaining to mathematical reasoning… of large language models …,https://arxiv.org/abs/2312.07622,2023,38,"W Liu, H Hu, J Zhou, Y Ding, J Li, J Zeng, M He…",1
Mathvista: Evaluating mathematical reasoning of foundation models in visual contexts,"… , a consolidated Mathematical reasoning benchmark in Visual … : (1) we identify seven mathematical reasoning types: algebraic … reasoning capabilities of Large Language Models …",https://arxiv.org/abs/2310.02255,2023,837,"P Lu, H Bansal, T Xia, J Liu, C Li, H Hajishirzi…",1
Novice learner and expert tutor: Evaluating math reasoning abilities of large language models with misconceptions,… We propose novel evaluations for mathematical reasoning capabilities of Large Language Models (LLMs) based on mathematical misconceptions. Our primary approach is to simulate …,https://arxiv.org/abs/2310.02439,2023,20,"N Liu, S Sonkar, Z Wang, S Woodhead…",1
Modeling Complex Mathematical Reasoning via Large Language Model based MathAgent,"… Large language models (LLMs) face challenges in solving complex mathematical problems … by meticulous decomposition and modeling of mathematical reasoning process. Specifically, …",https://openreview.net/forum?id=Ge7ZqrKG9t,2023,1,"H Liao, Q Du, S Hu, H He, Y Xu, J Tian, Y Jin",1
Exploring Mathematical Conjecturing with Large Language Models.,"… Szegedy, Mathematical reasoning via self-supervised skip-tree training, in: International Conference on Learning Representations, 2021. URL: https://openreview.net/forum?id=…",https://www.cs.ox.ac.uk/isg/conferences/tmp-proceedings/NeSy2023/paper5.pdf,2023,14,"M Johansson, N Smallbone",0
No train still gain. unleash mathematical reasoning of large language models with monte carlo tree search guided by energy function,… Those methods boost the mathematical reasoning abilities by a … Can we unlock the mathematical reasoning capability of … to improve the Mathematical Reasoning ability with a given …,https://arxiv.org/abs/2309.03224,2023,19,H Xu,1
Metamath: Bootstrap your own mathematical questions for large language models,"… LLMs trained from a sentence “A is B” are not able to generalize to answer “B is A”, also aligns with the observation in this paper that LLMs lack backward mathematical reasoning ability…",https://arxiv.org/abs/2309.12284,2023,799,"L Yu, W Jiang, H Shi, J Yu, Z Liu, Y Zhang…",1
Three questions concerning the use of large language models to facilitate mathematics learning,"… Then, we analyze the mathematical reasoning ability of LLMs. Finally, we investigate the pedagogical ability of LLMs in terms of rectifying model-generated or human answers and …",https://arxiv.org/abs/2310.13615,2023,15,"AZ Yen, WL Hsu",0
Research Trends in Large Language Models and Mathematical Reasoning,,,2023,0,"OW Kwon, JH Shin, YA Seo…",0
Physics-Inspired Mathematical Reasoning with Transformers,… State-of-the-art instruct-based large language models (LLMs) are then evaluated under a … -based models for the purpose of automating mathematical reasoning. We primarily focus on a …,https://search.proquest.com/openview/40939ce0d0eb1e3c5663edef1e39429c/1?pq-origsite=gscholar&cbl=2026366&diss=y,2023,0,J Meadows,0
Forward-backward reasoning in large language models for mathematical verification,"… We first consider mathematical reasoning tasks. A set of candidate answers is generated in the forward direction, and we estimate each answer’s probability based on the votes it …",https://arxiv.org/abs/2308.07758,2023,38,"W Jiang, H Shi, L Yu, Z Liu, Y Zhang, Z Li…",1
How well do large language models perform in arithmetic tasks?,… This proves that mathematical reasoning ability is different from arithmetic ability which needs to understand numbers deeply. Galactica with numerous LATEX-sources outperforms …,https://arxiv.org/abs/2304.02015,2023,135,"Z Yuan, H Yuan, C Tan, W Wang, S Huang",1
Large language models reasoning and reinforcement learning,"… Mathematical reasoning refers to the cognitive process of utilizing logical thinking to solve mathematical problems. It involves the use of abstract, deductive, and inductive reasoning …",https://papers.ssrn.com/sol3/papers.cfm?abstract_id=4656090,2023,1,NI Alonso,0
Large Language Models' Understanding of Math: Source Criticism and Extrapolation,"… For mathematical reasoning, however, we believe that the evaluation of generalization capabilities of LLMs can focus on an approach examining the foundations. We do not look for …",https://arxiv.org/abs/2311.07618,2023,6,"R Yousefzadeh, X Cao",1
Chameleon: Plug-and-play compositional reasoning with large language models,"… In the domain of mathematical reasoning, an interpretable solver has been developed to incorporate theorem knowledge as conditional rules and perform symbolic reasoning step by …",https://proceedings.neurips.cc/paper_files/paper/2023/hash/871ed095b734818cfba48db6aeb25a62-Abstract-Conference.html,2023,544,"P Lu, B Peng, H Cheng, M Galley…",0
Large language models,"… Notably, formal logic and mathematical reasoning seem to call upon different brain regions from those which specialize in language [3], suggesting that these functions are performed by …",https://arxiv.org/abs/2307.05782,2023,43,MR Douglas,0
An analysis of large language models and langchain in mathematics education,"… In the field of mathematics, there has been a significant focus on working with current Large Language Models (LLMs) during the process of solving word and numerical computational …",https://dl.acm.org/doi/abs/10.1145/3633598.3633614,2023,20,"F Soygazi, D Oguz",0
A Symbolic Framework for Evaluating Mathematical Reasoning with Transformers,"… -scale training data for mathematical reasoning tasks (a) and … generation of annotated mathematical reasoning, which allows … elicits reasoning in large language models. Advances in …",https://openreview.net/forum?id=7n8RzGQKnR,,0,"J Meadows, M Valentino, D Teney, A Freitas",0
Learning mathematics with large language models: A comparative study with computer algebra systems and other tools,"… In particular, LLMs facilitate activities that promote critical thinking, mathematical reasoning, and pen-and-paper skills in students. These activities involve observing, analyzing, and …",https://www.learntechlib.org/d/223774/,2023,46,"N Matzakos, S Doukakis…",0
In-context Curriculum for Mathematical Reasoning in Small Language Models,"… In recent years, the study of In-Context Learning (ICL) methods on large language models … problems yield the best results for large language models, especially when related to their …",https://openreview.net/forum?id=kcKfkJiKw5,,0,"J Parashar, SM Bhandarkar",0
Chain-of-thoughts prompting with language models for accurate math problem-solving,… Large Language Models (LLMs) is one of the most prominent technologies used nowadays. … framework and existing tools on the mathematical reasoning problems. • Source codes and …,https://ieeexplore.ieee.org/abstract/document/10534945/,2023,6,"SCE Fung, MF Wong, CW Tan",0
Generating mathematical derivations with large language models,"… derivations may be used to enhance the mathematical capabilities of LLMs, but it is of critical importance to develop suitable metrics to support LLM-based mathematical reasoning in …",https://arxiv.org/abs/2307.09998,2023,13,"J Meadows, M Valentino, A Freitas",1
Improving large language model fine-tuning for solving math problems,"… large language models … large language models (LLMs), eg, GPT-4 (OpenAI, 2023) and PaLM 2 (Anil et al., 2023), since it requires the ability of creative thinking, mathematical reasoning …",https://arxiv.org/abs/2310.10047,2023,56,"Y Liu, A Singh, CD Freeman, JD Co-Reyes…",1
Evaluating and improving tool-augmented computation-intensive math reasoning,… recent work as effective practices for improving large language models (LLMs) to perform step-… Numglue: A suite of fundamental yet challenging mathematical reasoning tasks. In Annual …,https://proceedings.neurips.cc/paper_files/paper/2023/hash/4a47dd69242d5af908cdd5d51c971cbf-Abstract-Datasets_and_Benchmarks.html,2023,48,"B Zhang, K Zhou, X Wei, X Zhao…",1
Mint: Boosting generalization in mathematical reasoning via multi-view fine-tuning,"… Many current methods focus on specializing LMs in mathematical reasoning and rely heavily on knowledge distillation from powerful but inefficient large LMs (LLMs). In this work, we …",https://arxiv.org/abs/2307.07951,2023,22,"Z Liang, D Yu, X Pan, W Yao, Q Zeng, X Zhang…",0
DocMath-eval: Evaluating math reasoning capabilities of LLMs in understanding long and specialized documents,"… Additionally, we suggest that future research could investigate training large language models (LLMs) on finance-specific data to improve their performance on the DOCMATHEVAL …",https://arxiv.org/abs/2311.09805,2023,33,"Y Zhao, Y Long, H Liu, R Kamoi, L Nan, L Chen…",1
Assessing the Impact of Prompting Methods on ChatGPT's Mathematical Capabilities,… This study critically evaluates the efficacy of prompting methods in enhancing the mathematical reasoning capability of large language models (LLMs). The investigation uses three …,https://arxiv.org/abs/2312.15006,2023,2,"Y Chen, C Wong, H Yang, J Aguenza…",0
Have llms advanced enough? a challenging problem solving benchmark for large language models,"… We introduce JEEBENCH, a benchmark consisting of 515 problems that require complex logical and mathematical reasoning on top of deep in-domain knowledge of pre-engineering …",https://arxiv.org/abs/2305.15074,2023,75,"D Arora, HG Singh",1
Conic10K: a challenging math problem understanding and reasoning dataset,"… Experiments show that existing large language models, including … failure lies in the lack of ability in mathematical reasoning. … Therefore, we believe the mathematical reasoning ability of …",https://arxiv.org/abs/2311.05113,2023,6,"H Wu, W Hui, Y Chen, W Wu, K Tu, Y Zhou",1
Breaking language barriers in multilingual mathematical reasoning: Insights and observations,"… Existing research predominantly focuses on developing powerful large language models (LLMs) for mathematical reasoning within monolingual languages, with few explorations in …",https://arxiv.org/abs/2310.20246,2023,41,"N Chen, Z Zheng, N Wu, M Gong, D Zhang…",1
Scibench: Evaluating college-level scientific problem-solving abilities of large language models,"… 2023a), which evaluates the mathematical reasoning ability … includes a diverse array of Large Language Models (LLMs), … this study highlight that while large language models (LLMs) …",https://arxiv.org/abs/2307.10635,2023,196,"X Wang, Z Hu, P Lu, Y Zhu, J Zhang…",0
A survey of reasoning with foundation models,"… With the ongoing development of foundation models, eg, Large Language Models (LLMs), … As mathematical reasoning forms the foundation of, we mention scientific reasoning here. …",https://arxiv.org/abs/2312.11562,2023,88,"J Sun, C Zheng, E Xie, Z Liu, R Chu, J Qiu, J Xu…",0
Reasoning with language model is planning with world model,"… Large language models (LLMs) have shown remarkable reasoning capabilities, particularly … the applications on plan generation, mathematical reasoning, and logical reasoning, posing …",https://arxiv.org/abs/2305.14992,2023,733,"S Hao, Y Gu, H Ma, JJ Hong, Z Wang, DZ Wang…",0
Red teaming for large language models at scale: Tackling hallucinations on mathematics tasks,"… Our work focuses on red teaming, a practice in AI safety that aims to systematically find backdoors in Large Language Models (LLMs) to elicit irresponsible responses (Microsoft…",https://arxiv.org/abs/2401.00290,2023,5,"A Buszydlik, K Dobiczek, MT Okoń, K Skublicki…",0
Markup Language for Mathematical Reasoning with LLMs,"… Introduction – Large language models (LLMs) can solve … One challenge in mathematical reasoning with LLMs is how to … Therefore, to further enhance LLMs’ mathematical reasoning …",https://aitp-conference.org/2023/abstract/AITP_2023_paper_2.pdf,,0,"R Yamauchi, S Sonoda, A Sannai, W Kumagai",0
